订单编号,订单日期,发货日期,快递,客户编号,客户名称,客户类型,地区编号,省份,区域,区域经理,产品编号,产品大类,产品小类,品牌,产品名称,产品属性,是否退货,金额,数量,折扣,利润
A000006,2018-08-24,2018-08-30,圆通,U21700,谢雯,小型企业,R00006,陕西,西北,杨健,P00682,技术,设备,爱普生,计算器,耐用,,434.28,2,0.0,4.2
A000007,2021-02-22,2021-02-27,邮政,U19585,康青,消费者,R00007,黑龙江,东北,楚杰,P01125,技术,复印,惠普,墨水,红色,,2368.8,4,0.0,639.52
A000008,2019-06-05,2019-06-09,邮政,U10885,赵婵,消费者,R00008,山东,华东,洪光,P00834,办公,信封,Jiffy,局间信封,银色,,683.76,3,0.0,88.62
A000008,2019-06-05,2019-06-09,邮政,U10885,赵婵,消费者,R00008,山东,华东,洪光,P00795,技术,配件,SanDisk,键区,可编程,,1326.5,5,0.0,344.4
A000008,2019-06-05,2019-06-09,邮政,U10885,赵婵,消费者,R00008,山东,华东,洪光,P00137,技术,电话,诺基亚,充电器,蓝色,,5936.56,2,0.0,2849.28
A000009,2020-11-22,2020-11-25,中通,U20965,刘斯云,公司,R00003,江苏,华东,洪光,P00097,办公,器具,KitchenAid,冰箱,黑色,,10336.45,7,0.4,-3962.73
A000009,2020-11-22,2020-11-25,中通,U20965,刘斯云,公司,R00003,江苏,华东,洪光,P01818,办公,标签,Novimex,圆形标签,红色,,85.26,3,0.0,38.22
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P00775,技术,配件,Memorex,键盘,实惠,是,2330.44,7,0.0,1071.14
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P00117,办公,用品,Acme,尺子,工业,是,85.54,1,0.0,23.94
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P00967,办公,装订,Avery,孔加固材料,耐用,是,137.9,5,0.0,2.1
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P01914,办公,装订,Cardinal,装订机,回收,是,397.32,6,0.0,126.84
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P00017,技术,电话,三星,办公室电话机,整包,是,2133.46,7,0.0,959.42
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P00177,技术,复印,Hewlett,传真机,数字化,是,4473.84,3,0.0,1162.98
A000010,2021-05-02,2021-05-08,圆通,U14050,白鹄,消费者,R00009,上海,华东,洪光,P00907,办公,用品,Elite,开信刀,工业,是,269.92,2,0.0,118.72
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P01351,家具,书架,Sauder,书架,金属,,1638.34,4,0.4,-464.46
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P01699,家具,椅子,Office Star,摇椅,可调,,1204.56,3,0.4,60.06
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P01449,办公,系固,OIC,图钉,金属,,198.66,5,0.4,-16.94
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P01450,办公,系固,Accos,图钉,混合尺寸,,249.31,8,0.4,-58.69
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P00755,办公,用品,Fiskars,剪刀,蓝色,,389.09,6,0.4,-182.11
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P01045,技术,配件,罗技,路由器,实惠,,692.5,1,0.4,-34.66
A000011,2020-06-07,2020-06-14,邮政,U10600,贾彩,公司,R00001,浙江,华东,洪光,P00271,家具,用具,Tenex,灯泡,黑色,,106.01,2,0.4,-9.07
A000012,2021-01-03,2021-01-04,圆通,U15910,马丽,消费者,R00009,上海,华东,洪光,P00077,办公,装订,Wilson Jones,标签,回收,,158.9,5,0.0,72.8
A000013,2021-03-24,2021-03-29,圆通,U12310,宋栋,公司,R00010,河北,华北,殷莲,P01505,办公,收纳,Fellowes,文件车,金属,是,1272.88,2,0.0,585.48
A000013,2021-03-24,2021-03-29,圆通,U12310,宋栋,公司,R00010,河北,华北,殷莲,P01719,家具,椅子,Harbour Creations,椅垫,可调,是,1738.1,5,0.0,799.4
A000014,2020-11-19,2020-11-23,邮政,U13495,巩虢,公司,R00001,浙江,华东,洪光,P01352,家具,书架,Dania,书架,白色,,1390.03,4,0.4,-486.53
A000015,2020-02-28,2020-03-01,中通,U20575,常松,消费者,R00009,上海,华东,洪光,P00272,家具,用具,Advantus,灯泡,耐用,,399.0,5,0.0,0.0
A000016,2020-09-03,2020-09-06,圆通,U16450,田黎明,公司,R00011,福建,华东,洪光,P00612,办公,美术,Boston,画布,蓝色,,250.32,1,0.0,32.48
A000017,2020-04-03,2020-04-08,邮政,U17815,谭乐,消费者,R00012,安徽,华东,洪光,P00057,办公,纸张,Green Bar,笔记本,优质,是,834.12,6,0.0,399.84
A000017,2020-04-03,2020-04-08,邮政,U17815,谭乐,消费者,R00012,安徽,华东,洪光,P01180,办公,收纳,Smead,盘,工业,是,228.48,1,0.0,77.56
A000017,2020-04-03,2020-04-08,邮政,U17815,谭乐,消费者,R00012,安徽,华东,洪光,P01200,家具,桌子,Lesro,培训桌,长方形,是,932.3,1,0.25,-211.37
A000018,2020-03-05,2020-03-10,中通,U11875,徐岱,公司,R00013,甘肃,西北,杨健,P01680,办公,纸张,SanDisk,羊皮纸,每包12个,,291.9,3,0.0,107.94
A000019,2020-07-26,2020-08-01,邮政,U14815,武杰,小型企业,R00003,江苏,华东,洪光,P01026,办公,器具,Breville,炉灶,黑色,,9424.3,6,0.4,-2042.54
A000020,2020-10-11,2020-10-13,圆通,U15700,吕兰,消费者,R00007,黑龙江,东北,楚杰,P00815,办公,器具,KitchenAid,搅拌机,黑色,,4127.76,9,0.0,1650.6
A000021,2018-05-17,2018-05-22,圆通,U21385,唐婉,小型企业,R00005,江西,华东,洪光,P01429,办公,收纳,Fellowes,锁柜,蓝色,,1935.08,2,0.0,0.0
A000021,2018-05-17,2018-05-22,圆通,U21385,唐婉,小型企业,R00005,江西,华东,洪光,P00455,办公,美术,Sanford,钢笔,混合尺寸,,266.56,4,0.0,50.4
A000022,2020-07-16,2020-07-20,邮政,U12505,葛毅,消费者,R00012,安徽,华东,洪光,P00216,办公,装订,Ibico,打孔机,透明,,697.9,5,0.0,236.6
A000023,2020-06-16,2020-06-18,圆通,U21265,邹涛,公司,R00002,四川,西南,白德伟,P01410,办公,美术,Boston,速写本,蓝色,,272.16,6,0.8,-1020.6
A000023,2020-06-16,2020-06-18,圆通,U21265,邹涛,公司,R00002,四川,西南,白德伟,P00137,技术,电话,诺基亚,充电器,蓝色,,1780.97,1,0.4,237.33
A000023,2020-06-16,2020-06-18,圆通,U21265,邹涛,公司,R00002,四川,西南,白德伟,P01779,办公,信封,Ames,邮寄品,银色,,357.0,2,0.0,149.8
A000024,2021-06-19,2021-06-22,圆通,U15985,薛磊,消费者,R00014,吉林,东北,楚杰,P00138,技术,电话,思科,充电器,全尺寸,,12183.36,4,0.0,1340.08
A000024,2021-06-19,2021-06-22,圆通,U15985,薛磊,消费者,R00014,吉林,东北,楚杰,P00178,技术,复印,Hewlett,传真机,彩色,,2999.36,2,0.0,1229.48
A000024,2021-06-19,2021-06-22,圆通,U15985,薛磊,消费者,R00014,吉林,东北,楚杰,P01181,办公,收纳,Tenex,盘,工业,,510.44,2,0.0,224.56
A000025,2020-02-01,2020-02-07,邮政,U19825,苏晒明,消费者,R00008,山东,华东,洪光,P01027,办公,器具,Hamilton Beach,炉灶,黑色,是,12641.3,5,0.0,3539.2
A000025,2020-02-01,2020-02-07,邮政,U19825,苏晒明,消费者,R00008,山东,华东,洪光,P00926,办公,器具,Hamilton Beach,烤面包机,银色,是,1359.4,5,0.0,217.0
A000025,2020-02-01,2020-02-07,邮政,U19825,苏晒明,消费者,R00008,山东,华东,洪光,P01525,办公,收纳,Rogers,文件夹,蓝色,是,143.22,1,0.0,68.74
A000026,2020-12-31,2021-01-04,邮政,U11980,林丹,消费者,R00015,辽宁,东北,楚杰,P00908,办公,用品,Acme,开信刀,蓝色,,338.35,4,0.4,-129.81
A000026,2020-12-31,2021-01-04,邮政,U11980,林丹,消费者,R00015,辽宁,东北,楚杰,P00340,办公,系固,Stockwell,订书钉,每包12个,,137.76,5,0.4,-71.54
A000026,2020-12-31,2021-01-04,邮政,U11980,林丹,消费者,R00015,辽宁,东北,楚杰,P00001,办公,系固,Accos,按钉,整包,,121.97,3,0.4,-40.99
A000027,2020-08-27,2020-08-31,邮政,U14590,徐健,公司,R00016,湖北,中南,范彩,P00534,家具,书架,Dania,古典书架,白色,,2314.37,2,0.4,-694.51
A000028,2021-11-16,2021-11-23,邮政,U13855,麦虹,公司,R00006,陕西,西北,杨健,P01506,办公,收纳,Smead,文件车,蓝色,,1198.4,2,0.0,455.28
A000029,2018-08-24,2018-08-27,圆通,U10405,袁保,公司,R00004,广东,中南,范彩,P00179,技术,复印,佳能,传真机,红色,,2954.84,2,0.0,1152.2
A000030,2020-06-07,2020-06-10,中通,U16480,马丽娜,消费者,R00017,河南,中南,范彩,P00311,技术,设备,松下,电话,耐用,,2775.36,7,0.0,332.22
A000031,2018-01-21,2018-01-23,中通,U15265,谭君,公司,R00008,山东,华东,洪光,P01854,办公,标签,Harbour Creations,运输标签,耐用,,276.5,5,0.0,132.3
A000031,2018-01-21,2018-01-23,中通,U15265,谭君,公司,R00008,山东,华东,洪光,P00631,办公,系固,Stockwell,回形针,混合尺寸,,255.5,5,0.0,51.1
A000032,2021-03-08,2021-03-14,圆通,U21430,钱伟,公司,R00004,广东,中南,范彩,P00237,技术,设备,StarTech,打印机,耐用,是,4784.08,4,0.0,382.48
A000033,2018-12-08,2018-12-11,邮政,U21880,陶武,公司,R00016,湖北,中南,范彩,P01485,办公,器具,Hoover,微波炉,黑色,,6900.77,8,0.4,-3106.43
A000034,2018-01-04,2018-01-09,顺丰,U11725,陶聪,消费者,R00018,湖南,中南,范彩,P01411,办公,美术,Stanley,速写本,蓝色,,497.62,3,0.2,-37.46
A000034,2018-01-04,2018-01-09,顺丰,U11725,陶聪,消费者,R00018,湖南,中南,范彩,P00663,办公,纸张,Green Bar,计划信息表,每包12个,,391.02,3,0.0,23.1
A000035,2020-03-11,2020-03-16,圆通,U12820,韩凤,小型企业,R00007,黑龙江,东北,楚杰,P01046,技术,配件,SanDisk,路由器,耐用,是,3591.84,3,0.0,933.66
A000036,2019-08-08,2019-08-10,圆通,U10585,涂博,消费者,R00008,山东,华东,洪光,P01798,办公,标签,Smead,有色标签,红色,,300.3,5,0.0,149.8
A000037,2019-03-22,2019-03-26,中通,U19510,钟庆缘,小型企业,R00019,北京,华北,殷莲,P00197,办公,信封,Kraft,搭扣信封,红色,,292.6,5,0.0,125.3
A000037,2019-03-22,2019-03-26,中通,U19510,钟庆缘,小型企业,R00019,北京,华北,殷莲,P01353,家具,书架,宜家,书架,传统,,572.04,1,0.0,62.86
A000038,2021-10-15,2021-10-20,圆通,U13180,孟刚,公司,R00020,重庆,西南,白德伟,P01621,技术,电话,三星,信号增强器,全尺寸,,1930.32,3,0.0,810.6
A000038,2021-10-15,2021-10-20,圆通,U13180,孟刚,公司,R00020,重庆,西南,白德伟,P01780,办公,信封,Kraft,邮寄品,每套50个,,527.1,3,0.0,47.04
A000038,2021-10-15,2021-10-20,圆通,U13180,孟刚,公司,R00020,重庆,西南,白德伟,P00139,技术,电话,三星,充电器,全尺寸,,2974.72,1,0.0,594.86
A000039,2018-02-02,2018-02-06,圆通,U15835,黄丽,消费者,R00001,浙江,华东,洪光,P00251,办公,用品,Elite,大剪刀,蓝色,,658.14,5,0.4,-33.46
A000040,2018-12-23,2018-12-27,邮政,U18085,倪幂,消费者,R00006,陕西,西北,杨健,P01606,办公,系固,Accos,橡皮筋,每包12个,是,150.36,2,0.0,23.8
A000040,2018-12-23,2018-12-27,邮政,U18085,倪幂,消费者,R00006,陕西,西北,杨健,P01819,办公,标签,Hon,圆形标签,耐用,是,98.7,3,0.0,16.38
A000040,2018-12-23,2018-12-27,邮政,U18085,倪幂,消费者,R00006,陕西,西北,杨健,P00572,办公,标签,Novimex,合法证物标签,可调,是,78.12,2,0.0,16.24
A000041,2020-03-11,2020-03-16,邮政,U19855,钱珊,公司,R00005,江西,华东,洪光,P01855,办公,标签,Harbour Creations,运输标签,可调,是,611.52,14,0.0,84.28
A000041,2020-03-11,2020-03-16,邮政,U19855,钱珊,公司,R00005,江西,华东,洪光,P00118,办公,用品,Kleencut,尺子,钢,是,120.96,2,0.0,36.12
A000042,2020-08-08,2020-08-08,顺丰,U21790,彭雯,消费者,R00006,陕西,西北,杨健,P00435,技术,复印,佳能,复印机,数字化,,2443.28,2,0.0,439.6
A000043,2019-08-22,2019-08-27,圆通,U21700,谢雯,小型企业,R00015,辽宁,东北,楚杰,P01126,技术,复印,夏普,墨水,每套两件,,696.7,2,0.4,-395.02
A000043,2019-08-22,2019-08-27,圆通,U21700,谢雯,小型企业,R00015,辽宁,东北,楚杰,P01820,办公,标签,Novimex,圆形标签,可调,,58.38,3,0.0,26.04
A000044,2018-06-01,2018-06-06,邮政,U16915,韦立,消费者,R00009,上海,华东,洪光,P01465,办公,信封,Ames,外皮和封条,回收,,571.34,7,0.0,194.04
A000044,2018-06-01,2018-06-06,邮政,U16915,韦立,消费者,R00009,上海,华东,洪光,P00396,家具,用具,Tenex,分层置放架,黑色,,588.7,5,0.0,123.2
A000045,2021-05-28,2021-06-02,圆通,U15805,熊丽,公司,R00021,青海,西北,杨健,P01799,办公,标签,Harbour Creations,有色标签,可调,,302.4,6,0.0,45.36
A000046,2020-07-26,2020-07-26,顺丰,U15445,曾康,消费者,R00002,四川,西南,白德伟,P00986,家具,用具,Eldon,框架,优质,,1929.82,6,0.4,192.7
A000047,2018-12-14,2018-12-18,邮政,U20095,郝升,消费者,R00016,湖北,中南,范彩,P00140,技术,电话,思科,充电器,混合尺寸,,7327.49,4,0.4,-3664.19
A000048,2018-09-15,2018-09-18,邮政,U11620,程聪,消费者,R00006,陕西,西北,杨健,P00968,办公,装订,Wilson Jones,孔加固材料,实惠,,42.28,2,0.0,10.08
A000048,2018-09-15,2018-09-18,邮政,U11620,程聪,消费者,R00006,陕西,西北,杨健,P00475,办公,收纳,Eldon,搁板,金属,,664.86,3,0.0,186.06
A000048,2018-09-15,2018-09-18,邮政,U11620,程聪,消费者,R00006,陕西,西北,杨健,P01182,办公,收纳,Rogers,盘,金属,,567.0,2,0.0,243.6
A000048,2018-09-15,2018-09-18,邮政,U11620,程聪,消费者,R00006,陕西,西北,杨健,P01183,办公,收纳,Rogers,盘,工业,,580.16,2,0.0,255.08
A000049,2021-05-21,2021-05-24,圆通,U16360,顾黎明,消费者,R00003,江苏,华东,洪光,P00252,办公,用品,Stiletto,大剪刀,钢,,398.92,3,0.4,-226.46
A000049,2021-05-21,2021-05-24,圆通,U16360,顾黎明,消费者,R00003,江苏,华东,洪光,P01874,家具,椅子,Novimex,折叠椅,每套两件,,1182.72,5,0.4,-39.48
A000049,2021-05-21,2021-05-24,圆通,U16360,顾黎明,消费者,R00003,江苏,华东,洪光,P00739,办公,系固,OIC,夹子,整包,,276.78,5,0.4,-14.42
A000049,2021-05-21,2021-05-24,圆通,U16360,顾黎明,消费者,R00003,江苏,华东,洪光,P00835,办公,信封,Ames,局间信封,银色,,665.28,3,0.0,66.36
A000049,2021-05-21,2021-05-24,圆通,U16360,顾黎明,消费者,R00003,江苏,华东,洪光,P01759,办公,美术,Sanford,荧光笔,蓝色,,29.4,2,0.8,-63.28
A000050,2021-01-20,2021-01-25,邮政,U14335,马惠英,公司,R00022,广西,中南,范彩,P01335,技术,设备,爱普生,收据打印机,耐用,,2186.8,4,0.0,612.08
A000051,2019-01-25,2019-01-28,中通,U10585,涂博,消费者,R00011,福建,华东,洪光,P01661,办公,用品,Elite,修剪器,工业,是,606.06,3,0.0,48.3
A000051,2019-01-25,2019-01-28,中通,U10585,涂博,消费者,R00011,福建,华东,洪光,P00854,办公,器具,Cuisinart,咖啡研磨机,红色,是,720.72,4,0.0,222.88
A000052,2021-02-13,2021-02-16,邮政,U20680,巩松,小型企业,R00023,天津,华北,殷莲,P00909,办公,用品,Elite,开信刀,钢,,249.2,2,0.0,122.08
A000053,2021-04-03,2021-04-05,圆通,U12625,孙辉,小型企业,R00023,天津,华北,殷莲,P01915,办公,装订,Avery,装订机,回收,,185.64,3,0.0,0.0
A000053,2021-04-03,2021-04-05,圆通,U12625,孙辉,小型企业,R00023,天津,华北,殷莲,P01161,家具,用具,Eldon,闹钟,优质,,2315.88,9,0.0,69.3
A000053,2021-04-03,2021-04-05,圆通,U12625,孙辉,小型企业,R00023,天津,华北,殷莲,P00416,家具,椅子,SAFCO,扶手椅,红色,,2153.34,1,0.0,947.38
A000054,2019-03-19,2019-03-19,中通,U21550,彭伟,小型企业,R00007,黑龙江,东北,楚杰,P01875,家具,椅子,Novimex,折叠椅,黑色,,2606.8,7,0.0,155.82
A000054,2019-03-19,2019-03-19,中通,U21550,彭伟,小型企业,R00007,黑龙江,东北,楚杰,P00796,技术,配件,Memorex,键区,回收,,803.04,4,0.0,96.32
A000055,2020-02-01,2020-02-06,中通,U15595,巩关茵,公司,R00003,江苏,华东,洪光,P01662,办公,用品,Fiskars,修剪器,锯齿状,,546.0,5,0.4,81.9
A000055,2020-02-01,2020-02-06,中通,U15595,巩关茵,公司,R00003,江苏,华东,洪光,P00436,技术,复印,Hewlett,复印机,彩色,,4453.85,6,0.4,-1484.95
A000056,2021-06-20,2021-06-23,中通,U15130,黄娟,消费者,R00003,江苏,华东,洪光,P00664,办公,纸张,Eaton,计划信息表,每包12个,,346.08,3,0.0,17.22
A000057,2020-08-05,2020-08-07,圆通,U16930,陈莲,公司,R00019,北京,华北,殷莲,P00969,办公,装订,Acco,孔加固材料,透明,,85.68,3,0.0,38.22
A000058,2021-01-28,2021-02-02,圆通,U14950,韦锦,消费者,R00018,湖南,中南,范彩,P01486,办公,器具,KitchenAid,微波炉,黑色,是,1445.5,1,0.0,28.84
A000059,2021-05-20,2021-05-25,邮政,U19900,谭珊,消费者,R00007,黑龙江,东北,楚杰,P00018,技术,电话,诺基亚,办公室电话机,整包,是,913.08,3,0.0,355.74
A000060,2020-06-22,2020-06-22,顺丰,U12190,牛德伟,消费者,R00008,山东,华东,洪光,P01047,技术,配件,贝尔金,路由器,耐用,,2416.96,2,0.0,1015.0
A000060,2020-06-22,2020-06-22,顺丰,U12190,牛德伟,消费者,R00008,山东,华东,洪光,P00253,办公,用品,Fiskars,大剪刀,工业,,1149.4,5,0.0,298.2
A000061,2021-02-21,2021-02-24,圆通,U14335,马惠英,公司,R00003,江苏,华东,洪光,P01235,办公,美术,Stanley,铅笔刀,整包,,140.28,6,0.8,-336.84
A000061,2021-02-21,2021-02-24,圆通,U14335,马惠英,公司,R00003,江苏,华东,洪光,P01916,办公,装订,Avery,装订机,实惠,,108.36,3,0.4,12.6
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P01465,办公,信封,Ames,外皮和封条,回收,,489.72,6,0.0,166.32
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P01336,技术,设备,StarTech,收据打印机,红色,,301.64,1,0.4,-171.0
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P01065,办公,信封,GlobeWeis,马尼拉纸信封,银色,,278.04,2,0.0,27.72
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P00719,技术,配件,罗技,记忆卡,耐用,,1160.21,4,0.4,173.49
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P00019,技术,电话,诺基亚,办公室电话机,全尺寸,,1301.83,7,0.4,-195.61
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P01430,办公,收纳,Smead,锁柜,单宽度,,2778.3,3,0.0,222.18
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P00198,办公,信封,Kraft,搭扣信封,银色,,212.8,4,0.0,97.44
A000062,2019-05-31,2019-06-06,顺丰,U17350,冯丽丽,消费者,R00003,江苏,华东,洪光,P01085,办公,用品,Elite,美工刀,工业,,204.46,2,0.4,-47.82
A000063,2019-02-15,2019-02-21,邮政,U18415,雷木兰,消费者,R00001,浙江,华东,洪光,P01700,家具,椅子,Hon,摇椅,红色,,731.47,2,0.4,60.87
A000064,2018-07-25,2018-08-01,圆通,U14335,马惠英,公司,R00001,浙江,华东,洪光,P01295,技术,配件,贝尔金,闪存驱动器,回收,,556.5,5,0.4,-343.7
A000065,2020-01-31,2020-02-05,邮政,U18610,丁妮,公司,R00017,河南,中南,范彩,P01127,技术,复印,惠普,墨水,彩色,,3036.6,5,0.0,1335.6
A000066,2021-01-12,2021-01-14,邮政,U11710,沈聪,消费者,R00015,辽宁,东北,楚杰,P00776,技术,配件,Enermax,键盘,实惠,,1402.13,6,0.4,-163.63
A000066,2021-01-12,2021-01-14,邮政,U11710,沈聪,消费者,R00015,辽宁,东北,楚杰,P00357,办公,装订,Cardinal,订书机,透明,,1516.28,11,0.4,-682.84
A000067,2019-06-30,2019-07-05,顺丰,U12910,吕凤,小型企业,R00004,广东,中南,范彩,P01856,办公,标签,Hon,运输标签,白色,,477.54,9,0.0,56.7
A000068,2020-11-12,2020-11-17,邮政,U18085,倪幂,消费者,R00020,重庆,西南,白德伟,P01820,办公,标签,Novimex,圆形标签,可调,,77.84,4,0.0,34.72
A000068,2020-11-12,2020-11-17,邮政,U18085,倪幂,消费者,R00020,重庆,西南,白德伟,P00970,办公,装订,Avery,孔加固材料,透明,,72.24,4,0.0,16.8
A000069,2021-01-17,2021-01-22,圆通,U14605,杨健,消费者,R00013,甘肃,西北,杨健,P00358,办公,装订,Avery,订书机,回收,,551.04,4,0.4,-285.04
A000070,2019-10-05,2019-10-11,邮政,U21070,薛婷,消费者,R00003,江苏,华东,洪光,P00417,家具,椅子,Harbour Creations,扶手椅,可调,,6665.4,5,0.4,555.1
A000070,2019-10-05,2019-10-11,邮政,U21070,薛婷,消费者,R00003,江苏,华东,洪光,P01105,家具,用具,Advantus,门挡,耐用,,353.3,3,0.4,-164.98
A000070,2019-10-05,2019-10-11,邮政,U21070,薛婷,消费者,R00003,江苏,华东,洪光,P00573,办公,标签,Harbour Creations,合法证物标签,红色,,100.52,2,0.0,31.92
A000071,2019-02-16,2019-02-22,邮政,U19810,牛晒明,小型企业,R00003,江苏,华东,洪光,P01607,办公,系固,OIC,橡皮筋,金属,,96.26,2,0.4,-35.34
A000072,2021-01-24,2021-01-31,中通,U19975,彭绅,公司,R00018,湖南,中南,范彩,P00535,家具,书架,Bush,古典书架,金属,,3846.64,2,0.0,153.72
A000072,2021-01-24,2021-01-31,中通,U19975,彭绅,公司,R00018,湖南,中南,范彩,P00098,办公,器具,KitchenAid,冰箱,银色,,7401.66,3,0.0,2664.48
A000073,2018-10-24,2018-10-24,顺丰,U10060,罗嫒,小型企业,R00001,浙江,华东,洪光,P01585,家具,用具,Tenex,相框,一包多件,,435.96,3,0.4,-72.66
A000074,2020-04-16,2020-04-20,圆通,U10405,袁保,公司,R00024,云南,西南,白德伟,P00199,办公,信封,Cameo,搭扣信封,回收,,310.24,8,0.0,2.24
A000075,2021-05-29,2021-06-03,顺丰,U14605,杨健,消费者,R00007,黑龙江,东北,楚杰,P01876,家具,椅子,SAFCO,折叠椅,红色,,799.96,2,0.0,143.92
A000075,2021-05-29,2021-06-03,顺丰,U14605,杨健,消费者,R00007,黑龙江,东北,楚杰,P01526,办公,收纳,Tenex,文件夹,工业,,331.8,3,0.0,0.0
A000075,2021-05-29,2021-06-03,顺丰,U14605,杨健,消费者,R00007,黑龙江,东北,楚杰,P00058,办公,纸张,Enermax,笔记本,每包12个,,456.96,3,0.0,118.44
A000076,2021-07-24,2021-07-31,邮政,U10090,陈安,消费者,R00008,山东,华东,洪光,P00574,办公,标签,Avery,合法证物标签,红色,,156.24,3,0.0,16.8
A000015,2020-02-28,2020-03-01,中通,U19825,苏晒明,消费者,R00007,黑龙江,东北,楚杰,P01125,技术,复印,惠普,墨水,红色,,592.2,1,0.0,159.88
A000077,2020-01-21,2020-01-22,邮政,U19105,贺平,消费者,R00025,海南,中南,范彩,P01663,办公,用品,Kleencut,修剪器,钢,,381.08,2,0.0,95.2
A000077,2020-01-21,2020-01-22,邮政,U19105,贺平,消费者,R00025,海南,中南,范彩,P01162,家具,用具,Tenex,闹钟,耐用,,1103.2,5,0.0,242.2
A000077,2020-01-21,2020-01-22,邮政,U19105,贺平,消费者,R00025,海南,中南,范彩,P01065,办公,信封,GlobeWeis,马尼拉纸信封,银色,,139.02,1,0.0,13.86
A000078,2019-06-01,2019-06-05,圆通,U17380,施丽丽,公司,R00007,黑龙江,东北,楚杰,P01487,办公,器具,Breville,微波炉,银色,,15526.28,11,0.0,1085.7
A000079,2020-04-25,2020-04-29,中通,U20935,贺斯云,消费者,R00017,河南,中南,范彩,P01065,办公,信封,GlobeWeis,马尼拉纸信封,银色,,278.04,2,0.0,27.72
A000079,2020-04-25,2020-04-29,中通,U20935,贺斯云,消费者,R00017,河南,中南,范彩,P00418,家具,椅子,Harbour Creations,扶手椅,红色,,1989.16,1,0.1,751.42
